Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:00,UF,Other,8/12/2022 3:13:48.5,8/12/2022 3:54:03.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:00,UF,Other,8/13/2022 3:13:43.5,8/13/2022 3:50:58.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:00,UF,Other,8/17/2022 2:57:07.5,8/17/2022 9:30:15.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:00,UF,Other,8/18/2022 2:58:35.5,8/18/2022 12:58:35.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:01,UF,Other,8/19/2022 2:48:06.5,8/19/2022 12:57:02.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:01,UF,Other,8/20/2022 2:36:08.5,8/20/2022 12:58:30.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:01,UF,Other,8/21/2022 2:42:01.5,8/21/2022 13:05:57.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:01,UF,Other,8/22/2022 2:55:22.5,8/22/2022 13:02:54.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:01,UF,Other,8/23/2022 2:59:50.5,8/23/2022 3:46:00.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:01,UF,Other,8/25/2022 2:44:48.5,8/25/2022 13:05:43.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:01,UF,Other,8/26/2022 2:43:13.5,8/26/2022 13:08:34.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:01,UF,Other,8/27/2022 2:35:44.5,8/27/2022 13:08:30.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:01,UF,Other,8/28/2022 2:40:06.5,8/28/2022 3:42:41.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,8/29/2022 2:43:03.5,8/29/2022 3:41:08.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,8/30/2022 2:35:37.5,8/30/2022 3:38:07.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,8/30/2022 11:04:50.5,8/30/2022 13:12:53.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,8/31/2022 2:42:59.5,8/31/2022 3:32:09.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,9/1/2022 2:41:25.5,9/1/2022 3:42:30.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,9/2/2022 2:41:23.5,9/2/2022 3:37:58.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,9/2/2022 9:20:26.5,9/2/2022 13:05:19.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,9/5/2022 2:33:49.5,9/5/2022 3:39:19.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,9/5/2022 6:45:27.5,9/5/2022 13:02:10.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:02,UF,Other,9/6/2022 2:15:50.5,9/6/2022 13:25:55.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:03,UF,Other,9/7/2022 2:32:11.5,9/7/2022 13:18:22.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:03,UF,Other,9/8/2022 2:09:47.5,9/8/2022 13:15:22.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:03,UF,Other,9/9/2022 2:15:39.5,9/9/2022 13:18:14.5,,,,,,,UF440,,
