"Input file","Event Number","Species Code","Call","Start time","End time","Parameter 1","Parameter 2","Parameter 3","Parameter 4","Parameter 5","Parameter 6","Comments","Image","Audio"
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:33","UF","Other","7/12/2022 3:12:57","7/12/2022 12:51:15",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:33","UF","Other","7/12/2022 11:38:55","7/12/2022 12:45:30",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:33","UF","Other","7/12/2022 4:06:17","7/12/2022 11:54:10",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:34","UF","Other","7/13/2022 3:11:08","7/13/2022 4:34:48",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:34","UF","Other","7/13/2022 3:58:38","7/13/2022 12:20:51",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:34","UF","Other","7/13/2022 3:12:58","7/13/2022 12:30:21",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:35","UF","Other","7/13/2022 11:35:11","7/13/2022 12:53:11",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:36","UF","Other","7/14/2022 3:24:25","7/14/2022 4:29:10",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:37","UF","Other","7/14/2022 4:12:00","7/14/2022 12:01:48",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:37","UF","Other","7/14/2022 3:26:20","7/14/2022 12:45:33",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:38","UF","Other","7/15/2022 4:51:52","7/15/2022 11:40:50",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:38","UF","Other","7/15/2022 3:09:12","7/15/2022 4:23:22",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 15:15","UF","Other","7/15/2022 3:05:22","7/15/2022 12:05:35",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 15:44","UF","Other","7/1/2022 4:30:05","7/1/2022 10:37:45",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 15:50","UF","Other","7/2/2022 4:18:01","7/2/2022 6:41:21",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 15:50","UF","Other","7/2/2022 9:40:54","7/2/2022 11:57:14",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 15:52","UF","Other","7/3/2022 4:50:52","7/3/2022 10:12:00",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 15:55","UF","Other","7/4/2022 5:37:29","7/4/2022 9:47:47",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 15:58","UF","Other","7/5/2022 4:00:46","7/5/2022 11:01:58",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 15:58","UF","Other","7/6/2022 9:01:10","7/6/2022 11:41:45",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 15:59","UF","Other","7/6/2022 5:44:22","7/6/2022 7:24:32",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:00","UF","Other","7/7/2022 7:59:04","7/7/2022 9:51:17",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:02","UF","Other","7/8/2022 4:19:46","7/8/2022 10:55:10",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:03","UF","Other","7/9/2022 4:02:34","7/9/2022 8:23:14",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:04","UF","Other","7/10/2022 4:21:29","7/10/2022 7:08:59",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:04","UF","Other","7/10/2022 10:30:58","7/10/2022 11:41:48",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:05","UF","Other","7/12/2022 4:26:42","7/12/2022 5:01:12",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:06","UF","Other","7/12/2022 9:37:25","7/12/2022 10:27:30",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:10","UF","Other","7/13/2022 4:57:48","7/13/2022 6:10:18",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:12","UF","Other","7/14/2022 4:42:15","7/14/2022 6:37:55",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:12","UF","Other","7/14/2022 23:07:14","7/14/2022 23:38:19",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:13","UF","Other","7/15/2022 2:01:39","7/15/2022 3:33:07",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 16:15","UF","Other","7/15/2022 21:49:26","7/15/2022 22:56:46",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 9:53","UF","Other","7/16/2022 3:08:59","7/16/2022 4:14:39",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 9:53","UF","Other","7/16/2022 3:05:34","7/16/2022 12:47:23",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 9:54","UF","Other","7/16/2022 11:50:28","7/16/2022 12:47:23",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 9:57","UF","Other","7/15/2022 22:51:36","7/16/2022 4:00:49",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:01","UF","Other","7/16/2022 3:55:39","7/16/2022 12:52:33",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:02","UF","Other","7/15/2022 3:24:32","7/15/2022 12:02:30",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:03","UF","Other","7/14/2022 6:31:00","7/14/2022 12:16:18",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:05","UF","Other","7/13/2022 6:03:23","7/13/2022 10:37:51",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:07","UF","Other","7/12/2022 7:52:07","7/12/2022 9:37:25",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:08","UF","Other","7/11/2022 10:03:20","7/11/2022 10:49:55",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:09","UF","Other","7/16/2022 4:14:39","7/16/2022 8:19:49",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:09","UF","Other","7/17/2022 3:29:44","7/17/2022 4:23:14",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:09","UF","Other","7/17/2022 3:29:44","7/17/2022 12:45:42",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:09","UF","Other","7/17/2022 11:52:07","7/17/2022 12:45:42",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:11","UF","Other","7/17/2022 5:25:24","7/17/2022 10:18:52",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:12","UF","Other","7/17/2022 4:02:34","7/17/2022 12:28:22",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:13","UF","Other","7/17/2022 1:37:31","7/17/2022 2:56:56",NA,NA,NA,NA,NA,NA,"White Seabass",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/8/2024 10:15","UF","Other","7/18/2022 3:17:37","7/18/2022 4:23:12",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
